ID	t	A0	notFoundBySE
32	3.00000	0.403990	
32	5.00000	0.369173	
32	7.00000	0.321952	
32	10.0000	0.253961	
32	14.0000	0.198501	
33	1.00000	0.261251	
33	3.00000	0.238498	
33	5.00000	0.167136	
33	7.00000	0.153295	
33	14.0000	0.0996026	
34	1.00000	0.297487	
34	3.00000	0.260510	
34	5.00000	0.188138	
34	7.00000	0.191164	
34	10.0000	0.180175	
34	14.0000	0.159062	
35	3.00000	0.349018	
35	5.00000	0.272713	
35	7.00000	0.258088	
35	10.0000	0.215242	
35	14.0000	0.229551	
36	3.00000	0.408650	
36	5.00000	0.348197	
36	7.00000	0.288930	
36	10.0000	0.271872	
36	14.0000	0.222820	
37	3.00000	0.0999133	
37	5.00000	0.0882416	
37	7.00000	0.152338	
37	10.0000	0.0871554	
38	1.00000	0.256196	
38	5.00000	0.213288	
38	7.00000	0.167033	
38	10.0000	0.193343	
38	14.0000	0.125473	
39	1.00000	0.253703	
39	3.00000	0.235400	
39	5.00000	0.183636	
39	7.00000	0.167793	
39	10.0000	0.155194	
39	14.0000	0.139348	
40	1.00000	0.357909	
40	3.00000	0.455641	
40	5.00000	0.245883	
40	7.00000	0.225574	
40	10.0000	0.168522	
40	14.0000	0.144233	
41	1.00000	0.316640	
41	3.00000	0.264083	
41	5.00000	0.203052	
41	7.00000	0.169824	
41	10.0000	0.137750	
41	14.0000	0.108435	
42	1.00000	0.562806	
42	3.00000	0.471495	
42	5.00000	0.103093	
42	14.0000	0.401195	
43	1.00000	0.395294	
43	3.00000	0.474286	
43	5.00000	0.278276	
43	7.00000	0.320700	
43	10.0000	0.260263	
43	14.0000	0.181737	
44	1.00000	0.450768	
44	3.00000	0.597077	
44	5.00000	0.310750	
44	7.00000	0.259866	
44	10.0000	0.171035	
44	14.0000	0.144151	
45	1.00000	0.290612	
45	3.00000	0.274387	
45	5.00000	0.219139	
45	7.00000	0.188011	
45	10.0000	0.171911	
45	14.0000	0.134374	
46	1.00000	0.316565	
46	3.00000	0.211957	
46	5.00000	0.282759	
46	7.00000	0.222954	
46	10.0000	0.124668	
47	1.00000	0.386111	
47	3.00000	0.351161	
47	7.00000	0.265962	
47	10.0000	0.200529	
47	14.0000	0.185190	
